loss,accuracy,recall,precision,true_positives,true_negatives,false_positives,false_negatives,auc,val_loss,val_accuracy,val_recall,val_precision,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_auc
0.6648341417312622,0.7380781173706055,0.9922580718994141,0.7420989274978638,3076.0,4.0,1069.0,24.0,0.5347923040390015,0.6614161729812622,0.743048906326294,1.0,0.743048906326294,775.0,0.0,268.0,0.0,0.6477972865104675
0.6520060896873474,0.7431104779243469,1.0,0.743048906326294,3100.0,1.0,1072.0,0.0,0.5798214077949524,0.6349629759788513,0.743048906326294,1.0,0.743048906326294,775.0,0.0,268.0,0.0,0.7037795186042786
0.6444188356399536,0.7428708076477051,1.0,0.7428708076477051,3100.0,0.0,1073.0,0.0,0.6178581714630127,0.6513282656669617,0.743048906326294,1.0,0.743048906326294,775.0,0.0,268.0,0.0,0.6995787024497986
0.6293270587921143,0.7428708076477051,1.0,0.7428708076477051,3100.0,0.0,1073.0,0.0,0.6637078523635864,0.6085314154624939,0.743048906326294,1.0,0.743048906326294,775.0,0.0,268.0,0.0,0.751651406288147
0.6240246891975403,0.7428708076477051,1.0,0.7428708076477051,3100.0,0.0,1073.0,0.0,0.6777073740959167,0.6464173197746277,0.743048906326294,1.0,0.743048906326294,775.0,0.0,268.0,0.0,0.7181511521339417
0.6083230376243591,0.7428708076477051,1.0,0.7428708076477051,3100.0,0.0,1073.0,0.0,0.7145264148712158,0.6134796738624573,0.743048906326294,1.0,0.743048906326294,775.0,0.0,268.0,0.0,0.7457197308540344
0.6081547141075134,0.7428708076477051,1.0,0.7428708076477051,3100.0,0.0,1073.0,0.0,0.7113726735115051,0.6148319244384766,0.743048906326294,1.0,0.743048906326294,775.0,0.0,268.0,0.0,0.7379899024963379
0.6016666889190674,0.743350088596344,0.9954838752746582,0.7448708415031433,3086.0,16.0,1057.0,14.0,0.7246391177177429,0.6085162162780762,0.743048906326294,1.0,0.743048906326294,775.0,0.0,268.0,0.0,0.7795329689979553
0.5910319089889526,0.7471842765808105,0.9916129112243652,0.7492079138755798,3074.0,44.0,1029.0,26.0,0.7425355315208435,0.579860270023346,0.7478427886962891,0.9987096786499023,0.7471042275428772,774.0,6.0,262.0,1.0,0.7873038053512573
0.5875157713890076,0.7538940906524658,0.9890322685241699,0.7553584575653076,3066.0,80.0,993.0,34.0,0.7482422590255737,0.5834531784057617,0.7440076470375061,0.996129035949707,0.7451737523078918,772.0,4.0,264.0,3.0,0.7817717790603638
0.5770013332366943,0.7531751990318298,0.9716129302978516,0.7617602348327637,3012.0,131.0,942.0,88.0,0.7632479071617126,0.5940119028091431,0.7545541524887085,0.9922580718994141,0.7546614408493042,769.0,18.0,250.0,6.0,0.7668319344520569
0.5848424434661865,0.7469446659088135,0.9645161032676697,0.7596544623374939,2990.0,127.0,946.0,110.0,0.7461254000663757,0.6136971712112427,0.743048906326294,0.9948387145996094,0.7449275255203247,771.0,4.0,264.0,4.0,0.788666307926178
0.5737332701683044,0.7589264512062073,0.9712903499603271,0.7665478587150574,3011.0,156.0,917.0,89.0,0.765565812587738,0.5777347087860107,0.7631831169128418,0.9587096571922302,0.7755740880966187,743.0,53.0,215.0,32.0,0.7816104888916016
0.5693371295928955,0.763239860534668,0.9674193263053894,0.7717447280883789,2999.0,186.0,887.0,101.0,0.7720237970352173,0.5598030090332031,0.7622243762016296,0.9741935729980469,0.7680569887161255,755.0,40.0,228.0,20.0,0.7956644296646118
0.5679532885551453,0.7646777033805847,0.9625806212425232,0.7750649452209473,2984.0,207.0,866.0,116.0,0.7723005414009094,0.5599021315574646,0.7535954117774963,0.9729032516479492,0.7616161704063416,754.0,32.0,236.0,21.0,0.7979200482368469
0.5560330748558044,0.7699496746063232,0.9432258009910583,0.7885652780532837,2924.0,289.0,784.0,176.0,0.7881671786308289,0.567539632320404,0.7641419172286987,0.9187096953392029,0.7955307364463806,712.0,85.0,183.0,63.0,0.7814443707466125
0.5560458302497864,0.7852863669395447,0.9587096571922302,0.7946524024009705,2972.0,305.0,768.0,128.0,0.7887928485870361,0.5795654654502869,0.7583892345428467,0.8245161175727844,0.8463576436042786,639.0,152.0,116.0,136.0,0.7839335203170776
0.5539543628692627,0.7814521789550781,0.9458064436912537,0.7976061105728149,2932.0,329.0,744.0,168.0,0.7885562181472778,0.5601062178611755,0.76701819896698,0.9664515852928162,0.7753623127937317,749.0,51.0,217.0,26.0,0.7957558631896973
0.5517313480377197,0.782410740852356,0.9322580695152283,0.805462658405304,2890.0,375.0,698.0,210.0,0.7909426093101501,0.5578586459159851,0.7660594582557678,0.9083871245384216,0.8027365803718567,704.0,95.0,173.0,71.0,0.7852118611335754
0.540264368057251,0.7931943535804749,0.9370967745780945,0.8130422830581665,2905.0,405.0,668.0,195.0,0.8052690625190735,0.5476541519165039,0.7794822454452515,0.9251613020896912,0.8065241575241089,717.0,96.0,172.0,58.0,0.7958569526672363
0.5400142669677734,0.7884016036987305,0.9248387217521667,0.8151834011077881,2867.0,423.0,650.0,233.0,0.8036590218544006,0.569270670413971,0.7564716935157776,0.9819355010986328,0.7602397799491882,761.0,28.0,240.0,14.0,0.8009268641471863
0.5398004651069641,0.7895998358726501,0.9132258296012878,0.822965145111084,2831.0,464.0,609.0,269.0,0.8026147484779358,0.5418591499328613,0.7861936688423157,0.9251613020896912,0.8129251599311829,717.0,103.0,165.0,58.0,0.7990058064460754
