loss,accuracy,recall,precision,true_positives,true_negatives,false_positives,false_negatives,auc,val_loss,val_accuracy,val_recall,val_precision,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_auc
0.506210446357727,0.7553318738937378,0.9893548488616943,0.7563501596450806,3067.0,85.0,988.0,33.0,0.7851345539093018,0.42650941014289856,0.818791925907135,0.9948387145996094,0.8064853549003601,771.0,83.0,185.0,4.0,0.9354718923568726
0.37140223383903503,0.8566977977752686,0.9893548488616943,0.8444383144378662,3067.0,508.0,565.0,33.0,0.9459120035171509,0.34763792157173157,0.8820709586143494,0.9716129302978516,0.8817330002784729,753.0,167.0,101.0,22.0,0.9430886507034302
0.3012944161891937,0.8979151844978333,0.9787096977233887,0.8939304947853088,3034.0,713.0,360.0,66.0,0.961621880531311,0.303559809923172,0.8945350050926208,0.9535483717918396,0.9089791178703308,739.0,194.0,74.0,36.0,0.9507511258125305
0.2571823298931122,0.9168463945388794,0.975806474685669,0.9175007343292236,3025.0,801.0,272.0,75.0,0.9695075750350952,0.27601027488708496,0.9012464284896851,0.9380645155906677,0.9296675324440002,727.0,213.0,55.0,48.0,0.9570149183273315
0.22902600467205048,0.9288281798362732,0.9729032516479492,0.9340353012084961,3016.0,860.0,213.0,84.0,0.9735885858535767,0.24767911434173584,0.9060402512550354,0.9780645370483398,0.9034565091133118,758.0,187.0,81.0,17.0,0.9641839265823364
0.20933255553245544,0.9317038059234619,0.9709677696228027,0.9391575455665588,3010.0,878.0,195.0,90.0,0.9763163924217224,0.23205387592315674,0.9137104749679565,0.9496774077415466,0.9351969361305237,736.0,217.0,51.0,39.0,0.967164158821106
0.1923362910747528,0.9381739497184753,0.9732258319854736,0.9451754093170166,3017.0,898.0,175.0,83.0,0.9791321158409119,0.21861813962459564,0.9213806390762329,0.9522580504417419,0.9425287246704102,738.0,223.0,45.0,37.0,0.9702046513557434
0.1801784485578537,0.941528856754303,0.9700000286102295,0.9521849155426025,3007.0,922.0,151.0,93.0,0.981030285358429,0.21012353897094727,0.9213806390762329,0.9819355010986328,0.9179734587669373,761.0,200.0,68.0,14.0,0.9731752276420593
0.17165915668010712,0.9410495758056641,0.9703226089477539,0.9512966275215149,3008.0,919.0,154.0,92.0,0.9819839000701904,0.195490300655365,0.9280920624732971,0.9638709425926208,0.9408060312271118,747.0,221.0,47.0,28.0,0.9744871854782104
0.1637631207704544,0.9448837637901306,0.9716129302978516,0.954977810382843,3012.0,931.0,142.0,88.0,0.983259916305542,0.2174365371465683,0.9069990515708923,0.907096803188324,0.9656593203544617,703.0,243.0,25.0,72.0,0.9753105640411377
0.1553550809621811,0.9463216066360474,0.9693548679351807,0.9588385224342346,3005.0,944.0,129.0,95.0,0.9849086999893188,0.18078961968421936,0.9309683442115784,0.9638709425926208,0.9443742036819458,747.0,224.0,44.0,28.0,0.9776384234428406
0.15035533905029297,0.9479990601539612,0.9716129302978516,0.958930253982544,3012.0,944.0,129.0,88.0,0.9851361513137817,0.18024538457393646,0.9319271445274353,0.9819355010986328,0.9303178191184998,761.0,211.0,57.0,14.0,0.9791165590286255
0.14538437128067017,0.9530314207077026,0.9722580909729004,0.9647887349128723,3014.0,963.0,110.0,86.0,0.9861549139022827,0.17325171828269958,0.9338446855545044,0.9793548583984375,0.9347290396690369,759.0,215.0,53.0,16.0,0.9798700213432312
0.14177784323692322,0.9487179517745972,0.971935510635376,0.959554135799408,3013.0,946.0,127.0,87.0,0.9866900444030762,0.17682544887065887,0.9309683442115784,0.9832258224487305,0.92813640832901,762.0,209.0,59.0,13.0,0.9808858633041382
0.13613107800483704,0.951833188533783,0.9712903499603271,0.964137077331543,3011.0,961.0,112.0,89.0,0.9878342151641846,0.1639561951160431,0.9367210268974304,0.9638709425926208,0.9515923857688904,747.0,230.0,38.0,28.0,0.9808304905891418
0.13285499811172485,0.9535106420516968,0.9725806713104248,0.9651088118553162,3015.0,964.0,109.0,85.0,0.9881504774093628,0.17494039237499237,0.9252157211303711,0.9329032301902771,0.9652870297431946,723.0,242.0,26.0,52.0,0.9810014963150024
0.13003988564014435,0.9525521397590637,0.9725806713104248,0.9638746976852417,3015.0,960.0,113.0,85.0,0.9882103204727173,0.15751834213733673,0.9405561089515686,0.9703226089477539,0.9506953358650208,752.0,229.0,39.0,23.0,0.9820823669433594
0.1292348951101303,0.951833188533783,0.9709677696228027,0.9644345045089722,3010.0,962.0,111.0,90.0,0.9878416657447815,0.163103848695755,0.9290508031845093,0.9380645155906677,0.9654714465141296,727.0,242.0,26.0,48.0,0.9822050929069519
0.12647904455661774,0.9535106420516968,0.9712903499603271,0.9663029313087463,3011.0,968.0,105.0,89.0,0.9886672496795654,0.15535055100917816,0.9357622265815735,0.9522580504417419,0.9609375,738.0,238.0,30.0,37.0,0.9827635884284973
0.12464019656181335,0.9530314207077026,0.9722580909729004,0.9647887349128723,3014.0,963.0,110.0,86.0,0.9890959858894348,0.16255205869674683,0.9348034262657166,0.9819355010986328,0.933742344379425,761.0,214.0,54.0,14.0,0.9837192893028259
